date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:26	80594/80594	---M-Z	200	added ('OK')	text/html	etag:%2213ad2-59ad2d29f05c0-gzip%22	https://jthemes.net/themes/html/immiex/files/demo-3.html	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/demo-3.html	(from )
19:59:28	274/274	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2016:59:27%20GMT	https://jthemes.net/robots.txt		(from )
19:59:28	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5922ce498f8c0%22	https://jthemes.net/themes/html/immiex/files/images/favicon.ico	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/images/favicon.ico	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:28	4308/4308	---M--	200	added ('OK')	image/png	etag:%2210d4-5922ce58d1cc0%22	https://jthemes.net/themes/html/immiex/files/images/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/images/apple-touch-icon-152x152.png	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:29	3784/3784	---M--	200	added ('OK')	image/png	etag:%22ec8-5922ce4b77d40%22	https://jthemes.net/themes/html/immiex/files/images/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/images/apple-touch-icon-120x120.png	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:29	2674/2674	---M--	200	added ('OK')	image/png	etag:%22a72-5922ce6dcce40%22	https://jthemes.net/themes/html/immiex/files/images/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/images/apple-touch-icon-76x76.png	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:29	2357/2357	---M--	200	added ('OK')	image/png	etag:%22935-5922ce4d601c0%22	https://jthemes.net/themes/html/immiex/files/images/apple-touch-icon.png	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/images/apple-touch-icon.png	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:29	274/274	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2016:59:29%20GMT	https://jthemes.net/themes/html/immiex/files/apple-touch-icon.png	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/apple-touch-icon.png	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:30	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-5922ce86988c0-gzip%22	https://jthemes.net/themes/html/immiex/files/css/bootstrap.min.css	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/css/bootstrap.min.css	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:31	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/My%20Web%20Sites/smartcollin/embassy/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:31	24268/24268	---M-Z	200	added ('OK')	text/css	etag:%225ecc-5922ce8e39ac0-gzip%22	https://jthemes.net/themes/html/immiex/files/css/flaticon.css	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/css/flaticon.css	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
19:59:31	33312/33312	---M-Z	200	added ('OK')	text/css	etag:%228220-5922ce9116180-gzip%22	https://jthemes.net/themes/html/immiex/files/css/menu.css	C:/My%20Web%20Sites/smartcollin/embassy/jthemes.net/themes/html/immiex/files/css/menu.css	(from https://jthemes.net/themes/html/immiex/files/demo-3.html)
